"SR NO",Date,Type,"Amount (In Rs.)",Description,"Dr. (In Rs.)","Cr. (In Rs.)"
1,2025-08-24,Expense,7000.00,"kharchi (Atahar@Master)",7000.00,0.00
2,2025-08-16,Expense,6000.00,"kharchi (Atahar@Master)",6000.00,0.00
3,2025-08-08,Expense,49930.00,"AB8615, AB8591, AB8801, AB8798, AB8582, AB8548, AB8497, AB8531, AB8577, AB8529, AB8532, AB8542, AB8747, AB8788, AB8739, AB8679, AB8566, AB8639, AB8546, AB8665, AB8813, AB8621, AB8779, AB8633, AB8701, AB8589, AB8822, AB8784, AB8699, AB8361, AB8698, AB8787, AB8738, AB8641, AB8597, AB8814, AB8473, AB8555, AB8510, AB8544, AB8604, AB8568, AB8774, AB8816, AB8756, AB8754, AB8765, AB8562, AB8824, AB8775, AB8541, AB8839, AB8467, AB8659, AB8668, AB8650, AB8901, AB8572, AB8634, AB8620, AB8590, AB8771, AB8623, AB8777, AB8669, AB8644, AB8610, AB8891, AB8766, AB8666, AB8624, AB8850, AB8622, AB8547, AB8700, AB8637, AB8683, AB8647, AB8895, AB8755, AB8638, AB8905, AB8819, AB8598, AB8651, AB8887, AB8685, AB8627, AB8412, AB8648, AB8663, AB8776, AB8688, AB8810, AB8592, AB8672, AB8764, AB8833, AB8697, AB8836, AB8848, AB8671, AB8809, AB8675, AB8786, AB8656, AB8619, AB8829, AB8658, AB8741, AB8715, AB8626, AB8717, AB8718, AB8680, AB8713, AB8861, AB8575, AB8652, AB8870, AB8657, AB8682, AB8807, AB8875, AB8719, AB8678, AB8772, AB8770, AB8662, AB8773, AB8752, AB8716, AB8767, AB8830, AB8899, AB8794, AB8888, AB8820, AB8835, AB8817, AB8834, AB8853, AB8811, AB8670, AB8871, AB8815, AB8826, AB8897, AB8684, AB8797, AB8831, AB8898, AB8768, AB8868, AB8890, AB8758, AB8873, AB8800, AB8864, AB8842, AB8847, AB8894, AB8854, AB8763, AB8872, AB8860, AB8846, AB8841, AB8862, AB8827, AB8795, AB8843, AB8840, AB8892, AB8896, AB8785, AB8790, AB8912, AB8903, AB8961, AB8955, AB8783, AB8902, AB8856, AB8845, AB8791, AB8952, AB9068, AB8805, AB8792, AB8904, AB9055, AB9053, AB9087, AB2, AB9086, AB9094, AB9036, AB9130, AB9076, AB9054, AB9066, AB9049, AB9048, AB9088, AB9061, AB9114, AB9084, AB9109, AB9016, AB9091, AB9101, AB9060, AB9064, AB9035, AB9100, AB9093, AB9116, AB9085, AB9078, AB8922, AB9065, AB9115, AB9063, AB9125, AB9102, AB9083, AB9071, AB8985, AB9007, AB9072, AB9128, AB9089, AB9126, AB9117, AB9059, AB9154, AB9106, AB9136, AB9090, AB9104, AB9095, AB9124, AB9123, AB9074, AB9062, AB9163, AB9075, AB9111, AB9077, AB9081, AB9105, AB9079, AB9082, AB9069, AB9137, AB9092, AB9050, AB9070, AB8982, AB9098, AB9107, AB9080, AB9177, AB9108, AB9113, AB9173, AB9112, AB9153, AB9141, AB9119, AB9134, AB9127, AB9133, AB9155, AB9103, AB9121, AB9149, AB9138, AB9161, AB9165, AB9122, AB9096, AB9073, AB9157, AB9143, AB9152, AB9178, AB9179, AB9110, AB8284, AB9197, AB9120, AB9198, AB9172, AB9164, AB9099, AB9067 August 2025 Salary (Atahar@Master)",49930.00,0.00
4,2025-07-15,Expense,3000.00,"kharchi (Atahar@Master)",3000.00,0.00
5,2025-05-22,Expense,9160.00,"AB8478, AB8476, AB8289, AB8322, AB8348, AB8469, AB8606, AB8470, AB8574, AB8415, AB8599, AB8349, AB8595, AB8537, AB8636, AB8584, AB8602, AB8511, AB8618, AB8307, AB8557, AB8293, AB8297, AB8372, AB8600, AB8418, AB8629, AB8625, AB8635, AB8315, AB8446, AB8444, AB8617, AB8316, AB8677, AB8628, AB8466, AB8613, AB8481, AB8653, AB8534, AB8667, AB8676, AB8673, AB8312, AB8643, AB8581, AB8407, AB8441, AB8487, AB8579, AB8522, AB8690, AB8585, AB8612, AB8462, AB8521, AB8539, AB8535, AB8509, AB8607, AB8654, AB8496, AB8769, AB8702, AB8400, AB8580, AB8527, AB8502, AB8536, AB8533, AB8649, AB8681, AB8565, AB8483, AB8686 (Atahar@Master)",9160.00,0.00
6,2025-05-09,Expense,10200.00,"8562 Shop  8295 8566 8558 8559 8568 8554 8582 = total 3pce bill pe 8576 8577 8584 8574 8580 8570 8583 8585 8581 8569 8579 8586 8572 8571 8587 8591 8588 8592 8589 8590 10944 - offline bill  8599 8597 8605 8602 8604 8601 8594 8598 8596 8593 8600 8608 8607 8606 8515 R 8612 8616 8610 8618 8613 8611 8445 8415 R 8620 8442 8436 8622 8625 8624 8623 8627 8626 8617 8619 8621 8629  Total pce 68 (Atahar@Master)",10200.00,0.00
7,2025-05-01,Expense,12000.00,"[2:23 pm, 29/4/2025] Alamin Jio: 8477 8476 8495 8478 8494 8475 8491 8501 8502 8492 8481 8498 8487 8391 8505 8473 8489 8218 8467 8466 8508 8503 8504 8486 8474 8461 8460 8499 8500 8511 8509 8483 8497 8462 8496 8034 R 8295 8518 8514 8516 8515 8528 8529 8524 8527 8304 8526 8517 8520 8512 8521 8507 8523 8525 8510 8530 8534 8471 8446 8533 8532 8531 8535 8536 8100 R 8548 8502 8542 8539 8541 8544 8546 8540 8537 8547 8550 8551 8557 8564 8555 Total pis 80 [2:23 pm, 29/4/2025] Alamin Jio: atahar master 12000 (Athar Master)",12000.00,0.00
8,2025-04-27,Expense,15000.00,"8361 8337 8355 8339 8345 8356 8347 7615 8327 8314 8394 8393 8370 8276 8321 8299 8283 8317 8397 8359 8360 8390 8364 8292 8285 8414 8365 8324 8369 8192 R 8394 8154 8372 8349 8368 8323 8293 Shop  8353 R 10910 8422 8406 8395 8416 8379 8408 8400 8398 8381 8389 8376 8362 8418 8423 8420 10928 8411 8415 8426 8378 8377 8403 8410 8407 8306 8296 8427 8417 8419 8384 8380 8402 8387 8388 8273 7893 R  Waqas 8209 8274 8428 8401 8450 8449 8438 8439 8437 8441 8454 8222 8456 8469 8433 8470 8440 8322 Shop Shop 8485 10927 8488 Total  100 Pis   athar husain 15000 (Athar Master)",15000.00,0.00
9,2025-04-15,Expense,18900.00,"8215 8238 8202 8232 8205 8213 8210 8234 8243 8244 8216 8211 8217 8233 8221 8214 8235 8208 8223 8200 7733 R 8208 8271 8251 8256 8261 8263 8259 8252 8258 8262 8264 8253 8270 8254 8250 8265 8142 8226 8220 8272 8255 8180 8236 8242 8199 8222 8245 8183 8228 8219 8206 8297 8181 8303 8201 8204 8246 8328 8329 8331 8332 8330 8335 8337 8242 8269 8247 8327 8182 8350 8367 8366 8354 8348 8336 8338 8257 8358 8341 8342 8353 8344 8333 8340 8248 10924 10922 10923 8153 8157 8159 8155 8156 8151 8160 8175 8164 8165 8160 8184 8179 8168 8169 8167 8163 7944 R 8178 8178 8178 8166 8191 8198 8193 8194 8197 8192 8196 8171 8162 8172 8173 8174 8176 8190 8161 total 126 (Athar Master)",18900.00,0.00
10,2025-03-31,Expense,2000.00,"Eidi (Athar Master)",2000.00,0.00
